concept,football,basketball,tennis,cricket,swimming,running,volleyball,boxing,cycling,hockey,pizza,pasta,burger,rice,chocolate,salad,soup,bread,cheese,coffee,doctor,teacher,engineer,lawyer,chef,architect,nurse,journalist,programmer,accountant,happiness,sadness,anger,fear,surprise,disgust,love,pride,anxiety,excitement,computer,smartphone,robot,internet,algorithm,database,software,sensor,network,cloud
football,1.0,0.6522355,0.5345765,0.58447564,0.44332746,0.34864187,0.6186046,0.41467017,0.37041944,0.61726,0.22657892,0.22555801,0.20000845,0.18455753,0.2512887,0.14894146,0.16853316,0.19838338,0.23201515,0.26647067,0.17234413,0.16942713,0.22814105,0.16191992,0.14940369,0.09528152,0.20646524,0.17075755,0.17929347,0.11098582,0.2506886,0.19711477,0.14638498,0.10057206,0.11071834,0.08383651,0.23908284,0.19748728,0.10677749,0.21936919,0.2656602,0.27418682,0.27913168,0.16649263,0.11547984,0.12809132,0.11272763,0.25988615,0.1629537,0.047432512
basketball,0.6522355,0.9999999,0.6306045,0.52265406,0.5207322,0.34049502,0.67680407,0.42108038,0.3525717,0.5383365,0.17143735,0.13584922,0.17400464,0.13203555,0.17755222,0.173765,0.21061951,0.10179016,0.19920126,0.15401432,0.11191562,0.15987134,0.07385652,0.13447419,0.16640024,0.03588534,0.18552499,0.13177967,0.15394358,0.076831385,0.1735056,0.17516784,0.17426008,0.095254146,0.10718876,0.07344157,0.18138272,0.12994765,0.13456683,0.20843273,0.25275952,0.2376176,0.2802782,0.15330707,0.094445795,0.104184054,0.097501814,0.17296553,0.21016486,0.07116979
tennis,0.5345765,0.6306045,0.99999994,0.66293114,0.48768488,0.40536612,0.6933714,0.46370894,0.44382277,0.5121827,0.19112931,0.17686647,0.2066051,0.11134422,0.14256679,0.23561415,0.25880852,0.1797083,0.2031976,0.21284868,0.103300884,0.16996866,0.11214198,0.16182382,0.18680297,0.03894285,0.16441403,0.15915486,0.16601303,0.105835944,0.15723719,0.1230644,0.17310578,0.07053426,0.0883368,0.05808753,0.15257064,0.110175036,0.09751736,0.17936358,0.24551013,0.27537286,0.15990311,0.2648406,0.049900994,0.13168643,0.13163419,0.17940494,0.2510885,0.085713714
cricket,0.58447564,0.52265406,0.66293114,1.0000002,0.54319966,0.4584245,0.56001,0.468203,0.49617428,0.4795824,0.19535458,0.1280486,0.24671394,0.16118321,0.21109384,0.3043571,0.19178078,0.21779582,0.19257304,0.24299133,0.16111022,0.2430693,0.21627279,0.16106918,0.22542635,0.104175106,0.19557962,0.23034725,0.18674147,0.16953821,0.25168008,0.16275135,0.1724303,0.08624469,0.109057784,0.07757206,0.24703628,0.17145255,0.10573585,0.24657634,0.2706154,0.32673448,0.23812413,0.25443012,0.1161966,0.172739,0.16618446,0.21426795,0.21328562,0.12109807
swimming,0.44332746,0.5207322,0.48768488,0.54319966,1.0,0.5794288,0.5060953,0.4146044,0.5652405,0.3930086,0.115257524,0.08806136,0.14053597,0.048857078,0.080923274,0.11383993,0.15200928,0.16519919,0.08373408,0.20675236,0.16483758,0.1964303,0.18899605,0.14914224,0.14974633,0.12576413,0.1953694,0.19984478,0.17407465,0.12961407,0.11778734,0.08526459,0.0862448,0.08626872,0.039303556,0.026606314,0.16295631,0.10838218,0.11605671,0.21017575,0.16706787,0.2218802,0.25048995,0.15383476,0.052961443,0.06403433,0.081606396,0.14193283,0.12428663,0.05352519
running,0.34864187,0.34049502,0.40536612,0.4584245,0.5794288,0.9999999,0.31099027,0.3474267,0.7256748,0.3203388,0.14547457,0.13922963,0.26863235,0.09930513,0.10437323,0.2097653,0.22162138,0.15294343,0.13753529,0.22439238,0.18579449,0.20077771,0.1925811,0.17301124,0.17617232,0.12973398,0.24835238,0.2614685,0.1942471,0.19686258,0.21316434,0.0827273,0.09379658,0.09850212,0.051110927,0.056625944,0.22390442,0.18127449,0.16057289,0.33495492,0.24174225,0.22711444,0.21392828,0.14524148,0.025545187,0.13864604,0.23806477,0.14647867,0.10145603,0.05901438
volleyball,0.6186046,0.67680407,0.6933714,0.56001,0.5060953,0.31099027,1.0,0.39377725,0.33195585,0.51110184,0.21895288,0.1428136,0.18712729,0.1386619,0.06927876,0.13751262,0.20946571,0.1429046,0.11661498,0.14530802,0.09953679,0.15922731,0.13260347,0.14548449,0.19163415,0.06806191,0.18005373,0.120257914,0.16073051,0.036838617,0.14143838,0.08186486,0.17071788,0.06653258,0.054160275,0.017099395,0.120127365,0.11859118,0.069237515,0.15408695,0.14405522,0.27857098,0.21277626,0.19726413,0.06244558,0.06959218,0.07779203,0.11584768,0.19649759,0.08180058
boxing,0.41467017,0.42108038,0.46370894,0.468203,0.4146044,0.3474267,0.39377725,0.9999999,0.47460818,0.40586543,0.10763131,0.13720599,0.12177088,0.113928266,0.17836657,0.108596414,0.2221224,0.17689556,0.12550591,0.25736868,0.18051106,0.20352674,0.120648436,0.1252335,0.15747076,0.09133509,0.185312,0.18539017,0.16782443,0.10285865,0.16184852,0.21270096,0.31441033,0.14291646,0.13262841,0.11781415,0.13867863,0.107527345,0.16546011,0.26231897,0.14242221,0.18948151,0.12205346,0.15955013,0.061543845,0.14065608,0.09617408,0.08868874,0.20991793,0.04215265
cycling,0.37041944,0.3525717,0.44382277,0.49617428,0.5652405,0.7256748,0.33195585,0.47460818,1.0000002,0.38788122,0.17632735,0.1591804,0.18140982,0.02917881,0.15433666,0.16440164,0.15451726,0.1921765,0.14844213,0.20946476,0.19579887,0.2007292,0.21323189,0.20759314,0.1657849,0.090620674,0.23981342,0.21341059,0.16760302,0.20761596,0.2338703,0.1430513,0.16668092,0.12204671,0.067390926,0.073009185,0.17861335,0.19244865,0.13167347,0.28499582,0.14922306,0.2447601,0.18256378,0.2136821,0.09424195,0.114034414,0.143104,0.17265965,0.15764636,0.05652512
hockey,0.61726,0.5383365,0.5121827,0.4795824,0.3930086,0.3203388,0.51110184,0.40586543,0.38788122,1.0000002,0.13016304,0.107156366,0.1887371,0.08007191,0.16554436,0.13626662,0.17978843,0.1447901,0.17746918,0.18473507,0.1253001,0.20940486,0.08570274,0.096543856,0.20812467,0.02221296,0.2343646,0.14813077,0.12951897,0.12578869,0.18902062,0.096151605,0.15518105,0.12404927,0.07050331,0.027360192,0.16637212,0.15382577,0.11290191,0.21608858,0.20514469,0.20440298,0.28703988,0.16517468,0.065798305,0.06842107,0.08524971,0.2533385,0.1555109,0.10080689
